,start,end,n_obs,cagr,ann_return_arith,ann_vol,sharpe,sortino,calmar,omega,max_drawdown,max_drawdown_date,time_underwater_share,hit_rate,best_day,worst_day,skew,excess_kurtosis,var_95,cvar_95,tail_ratio,total_return,deflated_sharpe_probability,prob_sharpe_above_0
M0_equal_weight,2022-01-03,2026-09-21,1183,0.07408721581798883,0.07747803149088862,0.10669770509265375,0.7261452476752762,0.7014005020263547,0.3772801977499567,1.1337249439973254,-0.1963718643592588,2022-10-14,0.9129332206255283,0.5409974640743872,0.043192699659820706,-0.041692725389571444,-0.13978247089148052,4.328262994967783,0.010748842857513806,0.01523275449824515,0.9702224452114264,0.4006783001560672,0.4994906008184274,0.9412172082953446
M1_inverse_vol,2022-01-03,2026-09-21,1183,0.04270171611435081,0.0444635709940048,0.07026911670780779,0.6327612054509336,0.6183614468470411,0.26020339032948286,1.1149447804023696,-0.16410899204764284,2022-10-20,0.9027895181741336,0.5435333896872359,0.028990289766679583,-0.022565465557881532,0.12687215813839828,3.61029501672291,0.007166004893796922,0.009910408405999679,0.9666107251485001,0.21791554039424899,0.41924782961278056,0.9150220279429456
M2_risk_parity,2022-01-03,2026-09-21,1183,0.048834364055198254,0.05054496192032125,0.07292515327727876,0.6931073799480038,0.67202172996264,0.30546420182443146,1.1264935680368908,-0.15986935216476295,2022-10-20,0.9061707523245984,0.5443786982248521,0.02844411044258511,-0.024100358993780754,-0.007781086496087845,3.761536601242744,0.007360234651414508,0.010350544693716955,0.9557313028535807,0.25205773484106775,0.47101337979378666,0.9330355849271246
M3_momentum,2022-01-03,2026-09-21,1183,-0.012739460479019749,-0.010774015866689657,0.06480879856527143,-0.16624310441179885,-0.15577473583785842,-0.08369449275047733,0.9714939919006323,-0.15221384418925332,2026-06-26,0.9839391377852916,0.5139475908706678,0.01773648405036071,-0.031031399985779248,-0.5994956088091007,4.673692687682752,0.006658983306183866,0.009741566669779102,0.9401827532643349,-0.058656385996350924,0.026196239566792952,0.35899611960337546
M4_mean_reversion,2022-01-03,2026-09-21,1183,-0.02245123215987288,-0.020635310662745442,0.06587790815721543,-0.3132356694371649,-0.3053785654089203,-0.16790316496722119,0.9473223226029673,-0.13371536006635676,2025-04-08,0.9966187658495351,0.5046491969568893,0.025354771578592956,-0.01996010045553299,0.0416695376007039,3.101097958638963,0.006700825258883573,0.00963408817262566,0.9566805655976293,-0.10152321321298297,0.012197856628591646,0.24890375732305903
M5_momentum_plus_mr,2022-01-03,2026-09-21,1183,-0.009943370384891237,-0.007959982334770365,0.0644229408302277,-0.12355819576363528,-0.1156559712234607,-0.08332549307043882,0.9791187283029922,-0.11933167171882986,2024-08-05,0.981403212172443,0.5164835164835165,0.02089537434222802,-0.019653160359898895,-0.4043519121752866,2.243821320292364,0.007089428146227648,0.009931585066962548,0.8586672084968862,-0.046020817465353914,0.032564314253396925,0.3943459246620088
M6_combined_alpha_mvo,2022-01-03,2026-09-21,1183,0.038222153152553284,0.04084329986173912,0.07965271449685168,0.5127672059858484,0.4985237639049981,0.20305196579105342,1.091200121640693,-0.1882382817799707,2022-09-27,0.9315300084530854,0.5350803043110736,0.035694569235879825,-0.03215518590169573,-0.044857369404833376,4.172113098030638,0.008550638451341649,0.01115384169616621,0.9079889959692701,0.19344350921642173,0.3217898646092161,0.8662485251949317
M7_combined_alpha_shrinkage_mvo,2022-01-03,2026-09-21,1183,0.03900704186761739,0.04159006326067847,0.07949881560408441,0.5231532437892282,0.5105797119542235,0.2082938281976032,1.0932806061339972,-0.18726931184255913,2022-09-27,0.9298393913778529,0.5325443786982249,0.03577322359594941,-0.032311150911980016,-0.03961939700844876,4.2651210899576135,0.008567160460333177,0.011128132384084808,0.8909500193076224,0.1977031439906609,0.32987738622273527,0.8710397819622702
M8_black_litterman,2022-01-03,2026-09-21,1183,0.03523948838713453,0.04173716245213628,0.1180488158718879,0.3535585015730392,0.34731193489193496,0.13145754818492833,1.0673478505325316,-0.2680674398214188,2022-10-14,0.9425190194420964,0.5240912933220625,0.07314821211646713,-0.04802831658247418,0.2849788084911695,11.037646501752773,0.011248431280272997,0.01754884013554951,0.9718626732744156,0.17736515809926634,0.20893232802199352,0.7786188647885974
M9_mean_cvar,2022-01-03,2026-09-21,1183,0.023589263038252373,0.02468102114658185,0.05031805704043135,0.4905002815738744,0.4834177424933586,0.18028843394994934,1.0878689889112,-0.13084179900747872,2022-10-20,0.904480135249366,0.5300084530853761,0.0193653076455605,-0.01724729267947328,0.07374927355014428,2.9771060574911212,0.004960035348638663,0.007038883603625412,1.0022400239923501,0.11619099747566608,0.304356794677906,0.856082084596451
SPY_buy_hold,2022-01-03,2026-09-21,1183,0.12399247774865252,0.1324577016186597,0.17372280495623094,0.7624658239431036,0.7534683862125983,0.5061658924588097,1.145992391048335,-0.24496411077074431,2022-10-12,0.8825021132713441,0.5359256128486898,0.10501952577624296,-0.05854299294759402,0.33859603719085246,9.094258733411456,0.016587400637727453,0.02486883837174203,1.0196056346780933,0.7351142831344355,0.5309916136519525,0.9514941087482299
